traveler_type,date,url
Business,"January 15, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d10089430-Reviews-Capo-Hong_Kong.html
Family,"January 27, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d788642-Reviews-The_Peak_Lookout-Hong_Kong.html
Friends,"April 9, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html
Business,"July 17, 2013",https://www.tripadvisor.com/Restaurant_Review-g294217-d2433070-Reviews-Tango_Argentinian_Steak_House-Hong_Kong.html
Friends,"April 15, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d1880782-Reviews-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html
Friends,"October 17, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html
Couples,"January 10, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Friends,"January 5, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html
Family,"February 7, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html
Friends,"August 27, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d7808139-Reviews-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html
Couples,"April 20, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d3602180-Reviews-22_Ships-Hong_Kong.html
Solo,"March 10, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d2276403-Reviews-Bistecca_Italian_Steak_House-Hong_Kong.html
Couples,"September 14, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Friends,"May 11, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d799250-Reviews-Bombay_Dreams-Hong_Kong.html
Business,"May 18, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Family,"September 25, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d912108-Reviews-Caprice_Central-Hong_Kong.html
Business,"May 11, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d799250-Reviews-Bombay_Dreams-Hong_Kong.html
Couples,"May 4, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html
Friends,"June 28, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d1052864-Reviews-Sevva-Hong_Kong.html
Business,"September 11, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html
Couples,"September 16, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html
Couples,"August 18, 2012",https://www.tripadvisor.com/Restaurant_Review-g294217-d1792423-Reviews-Man_Wah-Hong_Kong.html
Friends,"May 29, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2165749-Reviews-AL_MOLO_RISTORANTE_ITALIANO_Michael_White-Hong_Kong.html
Family,"June 21, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html
Couples,"November 11, 2013",https://www.tripadvisor.com/Restaurant_Review-g294217-d788642-Reviews-The_Peak_Lookout-Hong_Kong.html
Family,"June 9, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d8353573-Reviews-Scarlett_Cafe_Wine_Bar-Hong_Kong.html
Family,"April 26, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d1482758-Reviews-Lobby_Lounge_InterContinental_Hong_Kong-Hong_Kong.html
Couples,"January 7, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2390123-Reviews-Above_and_Beyond-Hong_Kong.html
Family,"November 5, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d927163-Reviews-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html
Friends,"October 20, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Business,"September 10, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2433070-Reviews-Tango_Argentinian_Steak_House-Hong_Kong.html
Friends,"February 3, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d1880782-Reviews-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html
Business,"March 2, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Family,"April 30, 2013",https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html
Couples,"May 16, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html
Family,"June 6, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html
Friends,"January 9, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d2514791-Reviews-The_Market-Hong_Kong.html
Couples,"March 30, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html
Family,"November 8, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html
Friends,"February 20, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d2276403-Reviews-Bistecca_Italian_Steak_House-Hong_Kong.html
Couples,"March 15, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d2276403-Reviews-Bistecca_Italian_Steak_House-Hong_Kong.html
Couples,"April 17, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d1952785-Reviews-Delaney_s_Kowloon_Irish_Bar-Hong_Kong.html
Friends,"February 20, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d1792423-Reviews-Man_Wah-Hong_Kong.html
Couples,"March 26, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d3600498-Reviews-Cafe_103-Hong_Kong.html
Couples,"November 23, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d927163-Reviews-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html
Family,"November 23, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html
Solo,"June 24, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d939504-Reviews-Amber-Hong_Kong.html
Business,"March 5, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d8353573-Reviews-Scarlett_Cafe_Wine_Bar-Hong_Kong.html
Couples,"June 1, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d939504-Reviews-Amber-Hong_Kong.html
Friends,"July 27, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d1052864-Reviews-Sevva-Hong_Kong.html
Family,"June 8, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html
Friends,"January 7, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d1952785-Reviews-Delaney_s_Kowloon_Irish_Bar-Hong_Kong.html
Family,"February 21, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html
Couples,"June 8, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2166297-Reviews-The_Lounge_Bar-Hong_Kong.html
Friends,"December 21, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html
Couples,"May 14, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d786786-Reviews-Isola_Bar_Grill-Hong_Kong.html
Couples,"May 18, 2012",https://www.tripadvisor.com/Restaurant_Review-g294217-d1052864-Reviews-Sevva-Hong_Kong.html
Friends,"October 19, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html
Family,"July 19, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d1027723-Reviews-Clipper_Lounge-Hong_Kong.html
Business,"January 9, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d1052864-Reviews-Sevva-Hong_Kong.html
Friends,"October 9, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d788642-Reviews-The_Peak_Lookout-Hong_Kong.html
Friends,"May 17, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2390123-Reviews-Above_and_Beyond-Hong_Kong.html
Friends,"January 16, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d941989-Reviews-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html
Family,"July 31, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d7808139-Reviews-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html
Business,"May 27, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d2276403-Reviews-Bistecca_Italian_Steak_House-Hong_Kong.html
Business,"August 14, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Couples,"October 8, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d1792423-Reviews-Man_Wah-Hong_Kong.html
Friends,"November 11, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d1027723-Reviews-Clipper_Lounge-Hong_Kong.html
Solo,"September 3, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d786786-Reviews-Isola_Bar_Grill-Hong_Kong.html
Couples,"July 28, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html
Friends,"January 23, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d799250-Reviews-Bombay_Dreams-Hong_Kong.html
Business,"September 30, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d1952785-Reviews-Delaney_s_Kowloon_Irish_Bar-Hong_Kong.html
Couples,"October 3, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d1952785-Reviews-Delaney_s_Kowloon_Irish_Bar-Hong_Kong.html
Friends,"May 5, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d1880782-Reviews-Carpaccio_Pasta_Pizza_Vino-Hong_Kong.html
Business,"October 27, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d1811943-Reviews-Cafe_Gray_Deluxe-Hong_Kong.html
Couples,"August 20, 2014",https://www.tripadvisor.com/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html
Couples,"May 2, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d1952785-Reviews-Delaney_s_Kowloon_Irish_Bar-Hong_Kong.html
Family,"July 19, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d788642-Reviews-The_Peak_Lookout-Hong_Kong.html
Couples,"August 27, 2019",https://www.tripadvisor.com/Restaurant_Review-g294217-d2166297-Reviews-The_Lounge_Bar-Hong_Kong.html
Family,"May 1, 2016",https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html
Couples,"January 10, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d10089430-Reviews-Capo-Hong_Kong.html
Solo,"December 11, 2017",https://www.tripadvisor.com/Restaurant_Review-g294217-d2165749-Reviews-AL_MOLO_RISTORANTE_ITALIANO_Michael_White-Hong_Kong.html
Friends,"July 4, 2015",https://www.tripadvisor.com/Restaurant_Review-g294217-d1024986-Reviews-NOBU_InterContinental_Hong_Kong-Hong_Kong.html
Friends,"May 20, 2018",https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html
