address,city,country,cuisines,features,id_outlet,lat,lon,menu,name,opening_hours,phone,postal_code,price_level,price_range,rating,region,reviews_nr,special_diets,street,tags,url,website
"No.1 Austin Road West | International Commerce Centre,, Hong Kong, China",,China,Bar,"Outdoor Seating, Seating, Parking Available, Validated Parking, Valet Parking, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Wheelchair Accessible, Accepts Credit Cards, Table Service, Wine and Beer, Live Music",https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html,22.303398,114.16018700000001,,OZONE,,+852 2263 2270,,$$$$,£24 - £118,4.5,,3970.0,,"No.1 Austin Road West International Commerce Centre,",All reviews ; brunch ; tapas ; highest bar in the world ; the ritz carlton ; dom perignon ; clear night ; icc building ; view of hong kong ; great drinks ; spectacular views ; rooftop bar ; light show ; top floor ; victoria harbour ; free flow ; visiting hong kong ; jd ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html,http://www.ritzncarlton.com/en/Properties/HongKAong/Ddining/Ddefault.htm8?utm_source=tripadvisori&utm_medium=referral
"Shop 72, G/F, Olympian City 2, 18 Hoi Ting Road, Tai Kok Tsui | Olympian City Mall, Hong Kong, China",,China,"Chinese, Asian","Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d1745792-Reviews-Tim_Ho_Wan_the_Dim_Sum_Specialists-Hong_Kong.html,,,,"Tim Ho Wan, the Dim-Sum Specialists","Sun - Sat
10:00 AM - 9:30 PM",+852 2332 2896,,$,,4.0,,3188.0,,"Shop 72, G/F, Olympian City 2, 18 Hoi Ting Road, Tai Kok Tsui Olympian City Mall",All reviews ; pork buns ; dim sum ; char siu bao ; turnip cake ; cakes ; shrimp ; sticky rice ; spring rolls ; pastry ; fries ; michelin star ; olympian city ; worth the wait ; sham shui po ; chicken feet ; queue number ; order form ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d1745792-Reviews-Tim_Ho_Wan_the_Dim_Sum_Specialists-Hong_Kong.html,http://www.timhowan.com/?utm_source=tripadvisori&utm_medium=referral
"29/F & 30/F, 1 Peking Road, Tsim Sha Tsui, Hong Kong, China",,China,"Italian, Japanese, European, Asian, Sushi","Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d779644-Reviews-Aqua_Roma_Aqua_Tokyo_Aqua_Spirit-Hong_Kong.html,22.296136999999998,114.16991399999999,,"Aqua Roma, Aqua Tokyo & Aqua Spirit","Sun - Sat
12:00 PM - 3:00 PM
6:00 PM - 11:00 PM",+852 3427 2288,,$$$$,£19 - £100,4.5,,3039.0,,"29/F & 30/F, 1 Peking Road, Tsim Sha Tsui",All reviews ; brunch ; dessert platter ; sushi ; tempura ; cod ; tasting menu ; pasta ; wagyu beef ; truffle ; light show ; laser show ; peking road ; window table ; the hong kong skyline ; special occasion ; spectacular views ; victoria harbour ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d779644-Reviews-Aqua_Roma_Aqua_Tokyo_Aqua_Spirit-Hong_Kong.html,http://www.aq_ua.com.hk/?utm_source=tripadvisori&utm_medium=referral
"G/F 209A-209B Tung Choi Street | Prince Edward, Hong Kong, China",,China,Chinese,"Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html,22.325438000000002,114.16925,,One Dim Sum Chinese Restaurant,"Mon - Fri
10:00 AM - 12:00 AM
Sat - Sun
9:00 AM - 12:00 AM",+852 2789 2280,,$,,4.5,,2686.0,,G/F 209A-209B Tung Choi Street Prince Edward,All reviews ; dim sum ; mango custard ; siew mai ; shrimp dumplings ; sticky rice ; spring rolls ; pork ; cheung fun ; fries ; cakes ; prince edward station ; flower market ; worth the wait ; playing field road ; queue number ; ordered dishes ; long queue ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html,
"No.68 Yee Wo Street, Causeway Bay, Hong Kong, China",,China,"Chinese, Asian, Taiwanese","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html,22.27927,114.18623400000001,,Din Tai Fung (Yee Wo Branch),"Sun - Sat
11:30 AM - 10:00 PM",+852 3160 8998,,$$ - $$$,,4.5,,2092.0,,"No.68 Yee Wo Street, Causeway Bay",All reviews ; dumplings ; xiao long bao ; dim sum ; xiaolongbao ; pork ; drunken chicken ; hot and sour soup ; truffle ; shrimp ; rice ; causeway bay ; regal hotel ; michelin star ; efficient service ; wait for a table ; worth the wait ; long queue ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html,http://www.dintaifung.com.tw/en/areaA_a_detail.asp?AreaNO=208&AreaCountryNO=4&utm_source=tripadvisori&utm_medium=referral
"1 Peking Road, Tsim Sha Tsui | 28/f, Hong Kong, China",,China,"Chinese, Asian","Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d1367659-Reviews-Hutong-Hong_Kong.html,22.29615,114.169975,,Hutong,"Sun - Sat
12:00 PM - 3:00 PM
6:00 PM - 11:00 PM",+852 3428 8342,,$$$$,£25 - £71,4.0,,1846.0,,"1 Peking Road, Tsim Sha Tsui 28/f",All reviews ; brunch ; crispy lamb ; soft shell crab ; tasting menu ; prawns ; spring rolls ; pancakes ; rice ; lobster ; dim sum ; fries ; light show ; window table ; red lantern ; aqua bar ; laser show ; peking road ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d1367659-Reviews-Hutong-Hong_Kong.html,http://hutong.com.hk/?utm_source=tripadvisori&utm_medium=referral
"Shop 12A, Hong Kong Station Podium Level 1, IFC Mall , Central, Hong Kong, China",,China,"Chinese, Asian","Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d2422144-Reviews-Tim_Ho_Wan_Central-Hong_Kong.html,22.284927,114.158295,,Tim Ho Wan (Central),"Sun - Sat
9:00 AM - 9:00 PM",+852 2332 3078,,$,,4.0,,1742.0,,"Shop 12A, Hong Kong Station Podium Level 1, IFC Mall , Central",All reviews ; pork buns ; dim sum ; turnip cake ; char siu bao ; sticky rice ; shrimp ; cakes ; cheung fun ; spring rolls ; fries ; ifc mall ; michelin star ; hong kong station ; airport express ; chicken feet ; long queue ; worth the wait ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d2422144-Reviews-Tim_Ho_Wan_Central-Hong_Kong.html,http://www.timhowan.com/?utm_source=tripadvisori&utm_medium=referral
"G/F, 47-49 Parkes Street, Jordan, Hong Kong, China",,China,Chinese,,https://www.tripadvisor.com/Restaurant_Review-g294217-d776832-Reviews-Australia_Dairy_Company-Hong_Kong.html,,,,Australia Dairy Company,"Fri - Wed
7:30 AM - 11:00 PM",+852 2730 1356,,$,£2 - £8,3.5,,1728.0,,"G/F, 47-49 Parkes Street, Jordan",All reviews ; macaroni ; milk pudding ; steamed egg ; ham ; french toast ; soup ; sandwich ; char siew ; fries ; breakfast set ; long queue ; english menu ; queue moves ; yee shun ; hk style ; worth the wait ; set menu ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d776832-Reviews-Australia_Dairy_Company-Hong_Kong.html,
"3/F, Silvercord, No.30 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",,China,"Chinese, Asian, Taiwanese","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g294217-d5400408-Reviews-Din_Tai_Fung_Silvercord-Hong_Kong.html,,,,Din Tai Fung (Silvercord),"Sun - Sat
11:30 AM - 10:00 PM",+852 2730 6928,,$$ - $$$,,4.5,,1660.0,,"3/F, Silvercord, No.30 Canton Road, Tsim Sha Tsui, Kowloon",All reviews ; dumplings ; xiao long bao ; dim sum ; xiaolongbao ; pork ; shrimp ; soup ; truffle ; rice ; shopping centre ; michelin star ; third floor ; spicy sauce ; efficient service ; chinese tea ; wait for a table ; top floor ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d5400408-Reviews-Din_Tai_Fung_Silvercord-Hong_Kong.html,http://www.dintaifung.com.hk/?utm_source=tripadvisori&utm_medium=referral
"32-40 Wellington Street | Central, Hong Kong, China",,China,"Chinese, Asian",,https://www.tripadvisor.com/Restaurant_Review-g294217-d785057-Reviews-Yung_Kee_Restaurant-Hong_Kong.html,22.281558999999998,114.155731,,Yung Kee Restaurant,"Sun - Sat
11:00 AM - 11:00 PM",+852 2522 1624,,$$$$,£10 - £50,3.5,,1659.0,,32-40 Wellington Street Central,All reviews ; century egg ; roast goose ; char siew ; preserved egg ; bbq pork ; fried rice ; prawns ; dim sum ; fries ; pickled ginger ; excellent roast ; crispy skin ; cantonese food ; charcoal ; signature ; tender ; pigeon ; ,https://www.tripadvisor.com/Restaurant_Review-g294217-d785057-Reviews-Yung_Kee_Restaurant-Hong_Kong.html,http://www.yungkee.com.hk/?utm_source=tripadvisori&utm_medium=referral
