address,country,id_outlet,name,phone,reviews_nr
"No.1 Austin Road West | International Commerce Centre,, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2198231-Reviews-OZONE-Hong_Kong.html,OZONE,+852 2263 2270,3970
"Shop 72, G/F, Olympian City 2, 18 Hoi Ting Road, Tai Kok Tsui | Olympian City Mall, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1745792-Reviews-Tim_Ho_Wan_the_Dim_Sum_Specialists-Hong_Kong.html,"Tim Ho Wan, the Dim-Sum Specialists",+852 2332 2896,3188
"29/F & 30/F, 1 Peking Road, Tsim Sha Tsui, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d779644-Reviews-Aqua_Roma_Aqua_Tokyo_Aqua_Spirit-Hong_Kong.html,"Aqua Roma, Aqua Tokyo & Aqua Spirit",+852 3427 2288,3039
"G/F 209A-209B Tung Choi Street | Prince Edward, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html,One Dim Sum Chinese Restaurant,+852 2789 2280,2686
"No.68 Yee Wo Street, Causeway Bay, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2706744-Reviews-Din_Tai_Fung_Yee_Wo_Branch-Hong_Kong.html,Din Tai Fung (Yee Wo Branch),+852 3160 8998,2092
"1 Peking Road, Tsim Sha Tsui | 28/f, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1367659-Reviews-Hutong-Hong_Kong.html,Hutong,+852 3428 8342,1846
"Shop 12A, Hong Kong Station Podium Level 1, IFC Mall , Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2422144-Reviews-Tim_Ho_Wan_Central-Hong_Kong.html,Tim Ho Wan (Central),+852 2332 3078,1742
"G/F, 47-49 Parkes Street, Jordan, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d776832-Reviews-Australia_Dairy_Company-Hong_Kong.html,Australia Dairy Company,+852 2730 1356,1728
"3/F, Silvercord, No.30 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d5400408-Reviews-Din_Tai_Fung_Silvercord-Hong_Kong.html,Din Tai Fung (Silvercord),+852 2730 6928,1660
"32-40 Wellington Street | Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d785057-Reviews-Yung_Kee_Restaurant-Hong_Kong.html,Yung Kee Restaurant,+852 2522 1624,1659
"Salisbury Road, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d878088-Reviews-The_Lobby_at_the_Peninsula_Hong_Kong-Hong_Kong.html,The Lobby at the Peninsula Hong Kong,+852 2696 6772,1616
"Shum Wan Pier Dr | Wong Chuk Hang, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1207531-Reviews-Jumbo_Kingdom_Floating_Restaurant-Hong_Kong.html,Jumbo Kingdom Floating Restaurant,+852 2553 9111,1574
"L49 The Upper House, Pacific Place, No.88 Queensway, Admiralty, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d1811943-Reviews-Cafe_Gray_Deluxe-Hong_Kong.html,Cafe Gray Deluxe,+852 3968 1106,1512
"Shop 304 & 305, Level 3, The Peak Tower, 128 Peak Road, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d799966-Reviews-Bubba_Gump_Shrimp_Co-Hong_Kong.html,Bubba Gump Shrimp Co.,+852 2849 2867,1380
"1 Austin Road West | 102/F, The Ritz-Carlton, International Commerce Centre, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d2399904-Reviews-Tin_Lung_Heen-Hong_Kong.html,Tin Lung Heen,+852 2263 2270,1380
"G/F, 9-11 Fuk Wing Street, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d3749262-Reviews-Tim_Ho_Wan_Sham_Shui_Po-Hong_Kong.html,Tim Ho Wan Sham Shui Po,+852 2788 1226,1350
"2/F, Low Block, City Hall, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d798091-Reviews-City_Hall_Maxim_s_Palace-Hong_Kong.html,City Hall Maxim's Palace,+852 2521 1303,1296
"2/F, 42 Mody Road, Tsim Sha Tsui, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d943734-Reviews-Spring_Deer-Hong_Kong.html,Spring Deer,+852 2366 4012,1281
"Basement, Standard Chartered Bank Building, No.4-4A Des Voeux Road Central, Central, Hong Kong, China",China,https://www.tripadvisor.com/Restaurant_Review-g294217-d6579151-Reviews-Mott_32-Hong_Kong.html,Mott 32,+852 2885 8688,1253
